"id","apiId","code","country","founded","logo","name","national","venueAddress","venueCapacity","venueCity","venueId","venueImage","venueName","venueSurface"
"42","42","ARS","England","1886","https://media.api-sports.io/football/teams/42.png","Arsenal","false","Hornsey Road","60383","London","494","https://media.api-sports.io/football/venues/494.png","Emirates Stadium","grass"
"66","66","AVL","England","1874","https://media.api-sports.io/football/teams/66.png","Aston Villa","false","Trinity Road","42824","Birmingham","495","https://media.api-sports.io/football/venues/495.png","Villa Park","grass"
"35","35","BOU","England","1899","https://media.api-sports.io/football/teams/35.png","Bournemouth","false","Dean Court, Kings Park","12000","Bournemouth, Dorset","504","https://media.api-sports.io/football/venues/504.png","Vitality Stadium","grass"
"55","55","BRE","England","1889","https://media.api-sports.io/football/teams/55.png","Brentford","false","166 Lionel Rd N, Brentford","17250","Brentford, Middlesex","10503","https://media.api-sports.io/football/venues/10503.png","Gtech Community Stadium","grass"
"51","51","BHA","England","1901","https://media.api-sports.io/football/teams/51.png","Brighton","false","Village Way","31872","Falmer, East Sussex","508","https://media.api-sports.io/football/venues/508.png","American Express Stadium","grass"
"44","44","BUR","England","1882","https://media.api-sports.io/football/teams/44.png","Burnley","false","Harry Potts Way","22546","Burnley","512","https://media.api-sports.io/football/venues/512.png","Turf Moor","grass"
"49","49","CHE","England","1905","https://media.api-sports.io/football/teams/49.png","Chelsea","false","Fulham Road","41841","London","519","https://media.api-sports.io/football/venues/519.png","Stamford Bridge","grass"
"52","52","CRY","England","1861","https://media.api-sports.io/football/teams/52.png","Crystal Palace","false","Holmesdale Road","26309","London","525","https://media.api-sports.io/football/venues/525.png","Selhurst Park","grass"
"45","45","EVE","England","1878","https://media.api-sports.io/football/teams/45.png","Everton","false","35 Regent Road, Bramley-Moore Dock, Vauxhall","52888","Liverpool, Merseyside","22033","https://media.api-sports.io/football/venues/22033.png","Goodison Park","grass"
"36","36","FUL","England","1879","https://media.api-sports.io/football/teams/36.png","Fulham","false","Stevenage Road","29589","London","535","https://media.api-sports.io/football/venues/535.png","Craven Cottage","grass"
"40","40","LIV","England","1892","https://media.api-sports.io/football/teams/40.png","Liverpool","false","Anfield Road","61276","Liverpool","550","https://media.api-sports.io/football/venues/550.png","Anfield","grass"
"1359","1359","LUT","England","1885","https://media.api-sports.io/football/teams/1359.png","Luton","false","1 Maple Road","11500","Luton, Bedfordshire","551","https://media.api-sports.io/football/venues/551.png","Kenilworth Road","grass"
"50","50","MCI","England","1880","https://media.api-sports.io/football/teams/50.png","Manchester City","false","Rowsley Street","55097","Manchester","555","https://media.api-sports.io/football/venues/555.png","Etihad Stadium","grass"
"33","33","MUN","England","1878","https://media.api-sports.io/football/teams/33.png","Manchester United","false","Sir Matt Busby Way","76212","Manchester","556","https://media.api-sports.io/football/venues/556.png","Old Trafford","grass"
"34","34","NEW","England","1892","https://media.api-sports.io/football/teams/34.png","Newcastle","false","St. James' Street","52758","Newcastle upon Tyne","562","https://media.api-sports.io/football/venues/562.png","St. James' Park","grass"
"65","65","NFO","England","1865","https://media.api-sports.io/football/teams/65.png","Nottingham Forest","false","Pavilion Road","30576","Nottingham, Nottinghamshire","566","https://media.api-sports.io/football/venues/566.png","The City Ground","grass"
"62","62","SHU","England","1889","https://media.api-sports.io/football/teams/62.png","Sheffield Utd","false","Bramall Lane","32702","Sheffield","581","https://media.api-sports.io/football/venues/581.png","Bramall Lane","grass"
"47","47","TOT","England","1882","https://media.api-sports.io/football/teams/47.png","Tottenham","false","Bill Nicholson Way, 748 High Road","62850","London","593","https://media.api-sports.io/football/venues/593.png","Tottenham Hotspur Stadium","grass"
"48","48","WHU","England","1895","https://media.api-sports.io/football/teams/48.png","West Ham","false","Marshgate Lane, Stratford","64472","London","598","https://media.api-sports.io/football/venues/598.png","London Stadium","grass"
"39","39","WOL","England","1877","https://media.api-sports.io/football/teams/39.png","Wolves","false","Waterloo Road","34624","Wolverhampton, West Midlands","600","https://media.api-sports.io/football/venues/600.png","Molineux Stadium","grass"